Title,Year,IMDb Rating,Metascore,Votes
Beasts of No Nation,2015,7.7,79,
Ondskan,2003,7.7,61,
The Treasure of the Sierra Madre,1948,8.2,98,
Stalag 17,1953,8.0,84,
A Woman Under the Influence,1974,8.1,88,
The White Ribbon,2009,7.8,84,
Once Were Warriors,1994,7.9,77,
Trois couleurs: Rouge,1994,8.1,100,
Les parapluies de Cherbourg,1964,7.8,86,
The Red Shoes,1948,8.1,,
Jamsujong gwa nabi,2007,8.0,92,
Kokuhaku,2010,7.7,,
Jûbê ninpûchô,1993,7.8,,
The Quiet Man,1952,7.7,85,
The Shop Around the Corner,1940,8.0,96,
The Lady Vanishes,1938,7.7,98,
Bringing Up Baby,1938,7.8,91,
The Legend of 1900,1998,8.0,58,
Cowboy Bebop: Tengoku no tobira,2001,7.8,61,
Inherit the Wind,1960,8.1,75,
Un prophète,2009,7.8,90,
Pather Panchali,1955,8.2,,
Zindagi Na Milegi Dobara,2011,8.2,,
Laura,1944,7.9,,
777 Charlie,2022,8.8,,
Drishyam 2,2022,8.2,,
Tropa de Elite,2007,8.0,33,
Kis Uykusu,2014,8.0,88,
Le Petit Prince,2015,7.7,70,
In Cold Blood,1967,7.9,89,
Todo sobre mi madre,1999,7.8,87,
Taeksi woonjunsa,2017,7.9,69,
Batman: Mask of the Phantasm,1993,7.8,65,
Mildred Pierce,1945,7.9,88,
Michigo sipeul ttae,2004,7.9,78,
Cat on a Hot Tin Roof,1958,7.9,84,
The Conformist,1970,7.9,100,
Shadow of a Doubt,1943,7.8,94,
Brief Encounter,1945,8.0,92,
Under sandet,2015,7.8,75,
Lat sau san taam,1992,7.7,,
Control,2007,7.6,78,
Engagement,2004,7.6,76,
Scarface,1932,7.7,90,
You Can't Take It with You,1938,7.8,,
"Swades: We, the People",2004,8.2,,
Das Cabinet des Dr,1920,8.0,,
Fantastic Planet,1973,7.7,73,
아세닉 앤 올드 레이스,1944,7.9,,
The Broken Circle Breakdown,2012,7.7,70,
왕이 되려던 사나이,1975,7.8,91,
Miracle on 34th Street,1947,7.9,88,
霸王别姬,1992,8.1,84,
Mr,1939,8.1,73,
Drishyam,2015,8.2,,
신체 강탈자의 침입,1956,7.7,92,
"I, Daniel Blake",2016,7.8,78,
Rocketry: The Nambi Effect,2022,8.7,,
분노의 카이티,2019,8.4,,
Night on Earth,1991,7.7,68,
Efter brylluppet,2006,7.7,78,
Hable con ella,2002,7.9,86,
예언자 마호메트,1976,8.1,,
Ratsasan,2018,8.3,,
Bride of Frankenstein,1935,7.8,95,
Le salaire de la peur,1953,8.2,85,
Good Bye Lenin!,2003,7.7,68,
Yi yi,2000,8.1,94,
The Adventures of Robin Hood,1938,7.9,97,
Red River,1948,7.8,96,
Amarcord,1973,7.8,,
Black Narcissus,1947,7.7,86,
To Have and Have Not,1944,7.8,90,
Kumonosu-jô,1957,8.1,,
Andrey Rublyov,1966,8.1,,
원스 어폰 어 타임 인 아나톨리아,2011,7.8,82,
Frost/Nixon,2008,7.7,80,
Le charme discret de la bourgeoisie,1972,7.8,93,
Ahlat Agaci,2018,8.0,86,
마티,1955,7.7,82,
In a Lonely Place,1950,7.9,,
K.G.F: Chapter 1,2018,8.2,,
케이프 피어,1962,7.7,76,
Sardar Udham,2021,8.4,,
La double vie de Véronique,1991,7.7,86,
Gameui gyuchik,1939,7.9,99,
Offret,1986,7.9,,
A Man for All Seasons,1966,7.7,72,
Kal Ho Naa Ho,2003,7.9,54,
The Innocents,1961,7.8,88,
Diarios de motocicleta,2004,7.7,75,
The Kid,1921,8.2,,
Bajrangi Bhaijaan,2015,8.1,,
Okuribito,2008,8.0,68,
La passion de Jeanne d'Arc,1928,8.1,98,
Great Expectations,1946,7.8,90,
Le cercle rouge,1970,7.9,92,
Ôkami kodomo no Ame to Yuki,2012,8.1,71,
Nueve reinas,2000,7.9,80,
La battaglia di Algeri,1966,8.1,96,
Mar adentro,2004,8.0,74,
Dilwale Dulhania Le Jayenge,1995,8.0,,
"Like Father, Like Son",2013,7.8,73,
The Thin Man,1934,7.9,86,
My Man Godfrey,1936,7.9,82,
Persepolis,2007,8.0,90,
Wait Until Dark,1967,7.7,81,
Ta'm e guilass,1997,7.7,80,
Hedwig and the Angry Inch,2001,7.7,85,
Chhichhore,2019,8.3,,
Yume,1990,7.7,,
Nostalghia,1983,7.9,,
The Lunchbox,2013,7.8,76,
The Magdalene Sisters,2002,7.7,83,
"4 luni, 3 saptamâni si 2 zile",2007,7.9,97,
Harvey,1950,7.9,,
Bronenosets Potemkin,1925,7.9,97,
"Crna macka, beli macor",1998,8.0,73,
Kagemusha,1980,7.9,84,
Au revoir les enfants,1987,8.0,88,
The Invisible Man,1933,7.6,87,
발자국,1972,8.0,,
Bãhubali 2: The Conclusion,2017,8.2,,
Lagaan: Once Upon a Time in India,2001,8.1,84,
Forooshande,2016,7.7,85,
A Night at the Opera,1935,7.8,,
"쿠오바디스, 아이다",2020,8.0,97,
Les triplettes de Belleville,2003,7.7,91,
Down by Law,1986,7.7,75,
Dip huet seung hung,1989,7.8,82,
Munna Bhai M.B.B.S.,2003,8.1,,
Kakushi-toride no san-akunin,1958,8.1,89,
Les choristes,2004,7.8,56,
The Muppet Christmas Carol,1992,7.8,64,
Chak De! India,2007,8.1,68,
Z,1969,8.2,86,
Adams æbler,2005,7.7,51,
The Asphalt Jungle,1950,7.8,85,
Gongdong gyeongbi guyeok JSA,2000,7.7,58,
Les diaboliques,1955,8.1,,
Key Largo,1948,7.7,,
The General,1926,8.1,,
Tôkyô goddofâzâzu,2003,7.8,74,
Sweet Smell of Success,1957,8.0,100,
Talvar,2015,8.1,,
Toki o kakeru shôjo,2006,7.7,66,
Vozvrashchenie,2003,7.9,82,
The Gold Rush,1925,8.1,,
Veer-Zaara,2004,7.8,67,
Sennen joyû,2001,7.8,70,
Ivanovo detstvo,1962,8.0,,
Viskningar och rop,1972,8.0,,
데르수 우잘라,1975,8.2,,
Bom yeoreum gaeul gyeoul geurigo bom,2003,8.0,85,
96,2018,8.5,,
Crimes and Misdemeanors,1989,7.8,77,
L'avventura,1960,7.7,,
Das Experiment,2001,7.7,59,
카이로의 붉은 장미,1985,7.7,75,
Sunrise: A Song of Two Humans,1927,8.1,95,
M.S,2016,8.0,,
Ace in the Hole,1951,8.1,72,
Dil Chahta Hai,2001,8.1,,
Jules et Jim,1962,7.7,97,
The Big Heat,1953,7.9,,
A Wednesday,2008,8.1,,
Il postino,1994,7.8,81,
La strada,1954,8.0,,
Babam ve Oglum,2005,8.2,,
Cléo de 5 à 7,1962,7.8,87,
How Green Was My Valley,1941,7.7,88,
Da hong denglong gaogao gua,1991,8.1,,
Dom za vesanje,1988,8.1,,
Duck Soup,1933,7.7,93,
Sherlock Jr.,1924,8.2,,
Ascenseur pour l'échafaud,1958,7.9,94,
La Belle et la Bête,1946,7.9,92,
Höstsonaten,1978,8.1,,
Vivre Sa Vie,1962,7.8,,
Rang De Basanti,2006,8.1,,
어바웃 엘리,2009,7.9,87,
Du rififi chez les hommes,1955,8.1,97,
Yeopgijeogin geunyeo,2001,8.0,,
Cabiriaeui Baam,1957,8.1,,
Hana-bi,1997,7.7,83,
El ángel exterminador,1962,8.0,,
걸리 보이,2019,7.9,65,
Haider,2014,8.0,,
Hoje Eu Quero Voltar Sozinho,2014,7.9,71,
No Man's Land,2001,7.9,84,
Hiroshima mon amour,1959,7.8,,
Kind Hearts and Coronets,1949,8.0,,
In America,2002,7.7,76,
The Lost Weekend,1945,7.9,,
Super 30,2019,7.9,,
Mandariinid,2013,8.1,73,
Soorarai Pottru,2020,8.7,,
Article 15,2019,8.1,,
G.O.R.A.,2004,8.0,,
Love and Death,1975,7.7,89,
Uri: The Surgical Strike,2019,8.2,,
Ma vie de Courgette,2016,7.8,85,
Jungfrukällan,1960,8.0,,
Nefes: Vatan Sagolsun,2009,8.0,,
La grande illusion,1937,8.1,,
Le passé,2013,7.7,85,
아일라,2017,8.3,,
Central do Brasil,1998,8.0,80,
White Heat,1949,8.1,89,
Tsubaki Sanjûrô,1962,8.0,,
Padman,2018,7.9,,
Sholay,1975,8.1,,
Baby,2015,7.9,,
Jean de Florette,1986,8.1,,
Krótki film o milosci,1988,8.1,,
Roma città aperta,1945,8.0,,
Knockin' on Heaven's Door,1997,7.8,,
Sullivan's Travels,1941,7.9,,
Pink,2016,8.1,,
Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0,71,
Auf der anderen Seite,2007,7.7,85,
Hindi Medium,2017,7.8,,
Zelig,1983,7.7,,
Nattvardsgästerna,1963,8.0,,
Såsom i en spegel,1961,7.9,84,
Viridiana,1961,8.1,,
Eskiya,1996,8.1,,
Taegukgi hwinalrimyeo,2004,8.0,64,
C.R.A.Z.Y.,2005,7.8,81,
Umberto D.,1952,8.2,92,
Barfi!,2012,8.1,,
Rangasthalam,2018,8.2,,
Masaan,2015,8.1,,
The Circus,1928,8.1,90,
Drishyam,2013,8.3,,
Airlift,2016,7.9,,
Bhaag Milkha Bhaag,2013,8.2,,
Badhaai ho,2018,7.9,,
OMG: Oh My God!,2012,8.1,,
Lage Raho Munna Bhai,2006,8.0,,
Asuran,2019,8.4,,
Jab We Met,2007,7.9,,
비크람 베다,2017,8.2,,
Hera Pheri,2000,8.2,,
Kahaani,2012,8.1,,
Black,2005,8.1,,
Vicky Donor,2012,7.8,,
Dev.D,2009,7.9,,
Udaan,2010,8.1,,
Queen,2013,8.1,,
Vizontele,2001,8.0,,
Her Sey Çok Güzel Olacak,1998,8.1,,
Andaz Apna Apna,1994,8.0,,
Drishyam 2,2021,8.4,,
English Vinglish,2012,7.8,,
Sarfarosh,1999,8.1,,
Anand,1971,8.1,,
Special Chabbis,2013,8.0,,
Paan Singh Tomar,2012,8.2,,
